studentID,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,smote_class
0,0,0,18,1,0,0,4,4,0,4,0,1,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,4,0,11,11,2
1,0,0,17,1,0,1,1,1,0,2,0,0,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2,9,11,11,2
2,0,0,15,1,0,1,4,2,1,3,1,1,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,14,14,14,2
3,0,0,16,1,0,1,3,3,2,2,1,0,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0,11,13,13,2
4,0,0,17,1,0,0,4,4,2,4,1,1,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,2,10,13,13,2
5,0,0,15,1,0,1,4,4,4,1,3,1,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,14,14,14,2
6,0,0,15,1,0,1,2,1,3,2,3,0,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,10,12,13,2
7,0,0,16,1,0,1,4,4,1,2,1,1,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,6,17,17,17,2
8,0,0,16,1,0,1,4,4,3,3,3,1,1,3,0,0,1,0,1,1,1,1,0,3,2,3,1,2,2,10,13,13,14,2
9,0,0,16,1,0,1,3,3,2,2,3,1,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,2,13,14,14,2
10,0,0,16,1,0,1,2,2,3,3,1,1,1,1,0,0,1,0,0,0,1,1,0,1,2,2,1,3,5,6,10,11,12,2
11,0,0,15,1,0,1,2,3,2,2,2,0,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,4,11,11,11,2
12,0,0,15,1,0,1,4,4,3,4,2,0,1,2,0,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,13,12,12,2
13,0,0,15,1,0,1,4,4,3,3,0,1,1,1,0,1,1,0,0,1,1,1,0,3,3,4,2,3,5,0,13,12,12,2
14,0,0,16,1,0,0,2,1,2,2,2,1,1,2,0,0,0,0,1,1,1,1,1,5,3,4,1,1,2,2,12,13,12,2
15,0,0,15,1,0,0,4,3,3,3,3,1,1,2,0,0,1,0,1,1,1,1,0,4,3,2,1,1,1,0,15,14,15,2
